serial_no,wo_no,plant_cd,line_cd,item_cd,worker_no,dimcheck_x,dimcheck_y,holecheck_xc,holecheck_yc,dimcheck_hx,dimcheck_wy,holecheck_d,holecheck_ratio,check_result
20210918_150001_2_5,2,2,5,3,28,1,1,1,1,1,1,1,1,1
20210918_150101_2_5,2,2,5,3,28,0,1,1,1,1,1,1,1,0
20210918_150201_2_5,2,2,5,3,28,1,1,1,1,1,1,1,1,1
20210918_150301_2_5,2,2,5,3,28,1,1,1,1,1,1,1,1,1
20210918_150401_2_5,2,2,5,3,28,1,1,1,1,1,1,1,1,1
20210918_150501_2_5,2,2,5,3,28,1,1,1,1,1,1,1,1,1
20210918_150601_2_5,2,2,5,3,28,1,1,1,1,1,1,1,1,1
20210918_150701_2_5,2,2,5,3,28,1,1,1,1,1,1,1,1,1
20210918_150801_2_5,2,2,5,3,28,1,1,1,1,1,1,1,1,1
20210918_150901_2_5,2,2,5,3,28,1,1,1,1,1,1,1,1,1
20210918_151001_2_5,2,2,5,3,28,1,1,1,1,1,1,1,1,1
20210918_151101_2_5,2,2,5,3,28,1,1,1,1,1,1,1,1,1
20210918_151201_2_5,2,2,5,3,28,1,1,1,1,1,1,1,1,1
20210918_151301_2_5,2,2,5,3,28,1,1,1,1,1,1,1,1,1
20210918_151401_2_5,2,2,5,3,28,1,1,1,1,1,1,1,1,1
20210918_151501_2_5,2,2,5,3,28,1,1,1,1,1,1,1,1,1
20210918_151601_2_5,2,2,5,3,28,1,1,1,1,1,1,1,1,1
20210918_151701_2_5,2,2,5,3,28,1,1,1,1,1,1,1,1,1
20210918_151801_2_5,2,2,5,3,28,1,1,1,1,1,1,1,1,1
20210918_151901_2_5,2,2,5,3,28,1,1,1,1,1,1,1,1,1
20210918_152001_2_5,2,2,5,3,28,1,1,1,1,1,1,1,1,1
20210918_152101_2_5,2,2,5,3,28,1,1,1,1,1,1,1,1,1
20210918_152201_2_5,2,2,5,3,28,1,1,1,1,1,1,1,1,1
20210918_152301_2_5,2,2,5,3,28,1,1,1,1,1,1,1,1,1
20210918_152401_2_5,2,2,5,3,28,1,1,1,1,1,1,1,1,1
20210918_152501_2_5,2,2,5,3,28,1,1,1,1,1,1,1,1,1
20210918_152601_2_5,2,2,5,3,28,1,1,1,1,1,1,1,1,1
20210918_152701_2_5,2,2,5,3,28,1,1,1,1,1,1,1,1,1
20210918_152801_2_5,2,2,5,3,28,1,0,0,1,1,1,1,1,0
20210918_152901_2_5,2,2,5,3,28,1,1,1,1,1,1,1,1,1
20210918_153001_2_5,2,2,5,3,28,1,1,1,1,1,1,1,1,1
20210918_153101_2_5,2,2,5,3,28,1,1,1,1,1,1,1,1,1
20210918_153201_2_5,2,2,5,3,28,1,1,1,1,1,1,1,1,1
20210918_153301_2_5,2,2,5,3,28,1,1,1,1,1,1,1,1,1
20210918_153401_2_5,2,2,5,3,28,1,1,1,1,1,1,1,1,1
20210918_153501_2_5,2,2,5,3,28,1,1,1,1,1,1,1,1,1
20210918_153601_2_5,2,2,5,3,28,1,1,1,1,1,1,1,1,1
20210918_153701_2_5,2,2,5,3,28,1,1,1,1,1,1,1,1,1
20210918_153801_2_5,2,2,5,3,28,1,1,0,1,1,1,1,1,0
