serial_no,wo_no,plant_cd,line_cd,item_cd,worker_no,dimcheck_x,dimcheck_y,holecheck_xc,holecheck_yc,dimcheck_hx,dimcheck_wy,holecheck_d,holecheck_ratio,check_result
20211012_230001_2_4,2,2,4,2,24,1,1,1,1,1,1,1,1,1
20211012_230101_2_4,2,2,4,2,24,1,1,1,1,1,1,1,1,1
20211012_230201_2_4,2,2,4,2,24,1,1,1,1,1,1,1,1,1
20211012_230301_2_4,2,2,4,2,24,1,1,1,1,1,1,1,1,1
20211012_230401_2_4,2,2,4,2,24,1,1,1,1,1,1,1,1,1
20211012_230501_2_4,2,2,4,2,24,1,1,1,1,1,1,1,1,1
20211012_230601_2_4,2,2,4,2,24,1,1,1,1,1,1,1,1,1
20211012_230701_2_4,2,2,4,2,24,1,1,1,1,1,1,1,1,1
20211012_230801_2_4,2,2,4,2,24,1,1,1,1,1,1,1,1,1
20211012_230901_2_4,2,2,4,2,24,1,1,1,1,1,1,1,1,1
20211012_231001_2_4,2,2,4,2,24,1,1,1,1,1,1,1,1,1
20211012_231101_2_4,2,2,4,2,24,1,1,1,1,1,1,1,1,1
20211012_231201_2_4,2,2,4,2,24,1,1,1,1,1,1,1,1,1
20211012_231301_2_4,2,2,4,2,24,1,1,1,1,1,1,1,1,1
20211012_231401_2_4,2,2,4,2,24,1,1,1,1,1,1,1,1,1
20211012_231501_2_4,2,2,4,2,24,1,1,0,1,1,1,1,1,0
20211012_231601_2_4,2,2,4,2,24,1,1,1,0,1,1,1,1,0
20211012_231701_2_4,2,2,4,2,24,1,1,1,1,1,1,1,1,1
20211012_231801_2_4,2,2,4,2,24,1,1,1,1,1,1,1,1,1
20211012_231901_2_4,2,2,4,2,24,1,1,1,1,1,1,1,1,1
20211012_232001_2_4,2,2,4,2,24,1,1,1,1,1,1,1,1,1
20211012_232101_2_4,2,2,4,2,24,1,1,1,1,1,1,1,1,1
20211012_232201_2_4,2,2,4,2,24,1,1,1,1,1,1,1,1,1
20211012_232301_2_4,2,2,4,2,24,1,1,1,1,1,1,1,1,1
20211012_232401_2_4,2,2,4,2,24,1,1,1,1,1,1,1,1,1
20211012_232501_2_4,2,2,4,2,24,1,1,1,1,1,1,1,1,1
20211012_232601_2_4,2,2,4,2,24,1,1,1,1,1,1,1,1,1
20211012_232701_2_4,2,2,4,2,24,1,1,0,1,1,1,1,1,0
