serial_no,wo_no,plant_cd,line_cd,item_cd,worker_no,dimcheck_x,dimcheck_y,holecheck_xc,holecheck_yc,dimcheck_hx,dimcheck_wy,holecheck_d,holecheck_ratio,check_result
20210918_230001_2_4,3,2,4,2,24,1,1,1,1,1,1,1,1,1
20210918_230101_2_4,3,2,4,2,24,1,1,1,1,1,1,1,1,1
20210918_230201_2_4,3,2,4,2,24,1,1,1,1,1,1,1,1,1
20210918_230301_2_4,3,2,4,2,24,1,1,1,1,1,1,0,1,0
20210918_230401_2_4,3,2,4,2,24,1,1,1,0,1,1,1,1,0
20210918_230501_2_4,3,2,4,2,24,1,1,1,1,1,1,1,1,1
20210918_230601_2_4,3,2,4,2,24,1,1,1,1,1,1,1,1,1
20210918_230701_2_4,3,2,4,2,24,1,1,1,1,1,1,1,1,1
20210918_230801_2_4,3,2,4,2,24,1,1,1,1,1,1,1,1,1
20210918_230901_2_4,3,2,4,2,24,1,1,1,1,1,1,1,1,1
20210918_231001_2_4,3,2,4,2,24,1,1,1,1,1,1,1,1,1
20210918_231101_2_4,3,2,4,2,24,1,1,1,1,1,1,1,1,1
20210918_231201_2_4,3,2,4,2,24,1,1,1,1,1,1,1,1,1
20210918_231301_2_4,3,2,4,2,24,1,1,1,1,1,1,1,1,1
20210918_231401_2_4,3,2,4,2,24,1,1,1,1,1,1,1,1,1
20210918_231501_2_4,3,2,4,2,24,1,1,1,1,1,1,1,1,1
20210918_231601_2_4,3,2,4,2,24,1,1,1,1,1,1,1,1,1
20210918_231701_2_4,3,2,4,2,24,1,1,1,1,1,1,0,1,0
20210918_231801_2_4,3,2,4,2,24,1,1,1,1,1,1,1,1,1
20210918_231901_2_4,3,2,4,2,24,1,0,1,1,1,1,1,1,0
20210918_232001_2_4,3,2,4,2,24,1,1,1,1,1,1,1,1,1
20210918_232101_2_4,3,2,4,2,24,1,1,1,1,1,1,1,1,1
20210918_232201_2_4,3,2,4,2,24,1,1,1,1,1,1,1,1,1
20210918_232301_2_4,3,2,4,2,24,1,1,1,1,1,1,1,1,1
20210918_232401_2_4,3,2,4,2,24,1,1,1,1,1,1,1,1,1
20210918_232501_2_4,3,2,4,2,24,1,1,1,1,1,1,1,1,1
20210918_232601_2_4,3,2,4,2,24,1,1,1,1,1,1,1,1,1
20210918_232701_2_4,3,2,4,2,24,1,0,1,1,1,1,1,1,0
20210918_232801_2_4,3,2,4,2,24,1,1,1,1,1,1,1,1,1
20210918_232901_2_4,3,2,4,2,24,1,1,1,1,1,1,1,1,1
20210918_233001_2_4,3,2,4,2,24,1,1,1,1,1,1,1,1,1
20210918_233101_2_4,3,2,4,2,24,1,1,1,1,1,1,1,1,1
20210918_233201_2_4,3,2,4,2,24,1,1,1,1,1,1,1,1,1
20210918_233301_2_4,3,2,4,2,24,1,1,1,1,1,1,1,1,1
20210918_233401_2_4,3,2,4,2,24,1,1,1,1,1,1,1,1,1
20210918_233501_2_4,3,2,4,2,24,1,1,1,1,1,1,1,1,1
20210918_233601_2_4,3,2,4,2,24,1,1,1,1,1,1,1,1,1
20210918_233701_2_4,3,2,4,2,24,1,1,1,1,1,1,1,1,1
20210918_233801_2_4,3,2,4,2,24,1,1,1,1,1,1,1,1,1
20210918_233901_2_4,3,2,4,2,24,1,1,1,1,1,1,1,1,1
20210918_234001_2_4,3,2,4,2,24,1,1,1,1,1,1,1,1,1
20210918_234101_2_4,3,2,4,2,24,1,1,1,1,1,1,1,1,1
20210918_234201_2_4,3,2,4,2,24,1,1,1,1,1,1,1,1,1
20210918_234301_2_4,3,2,4,2,24,1,1,1,1,1,1,1,1,1
20210918_234401_2_4,3,2,4,2,24,1,1,1,1,1,1,1,1,1
20210918_234501_2_4,3,2,4,2,24,1,1,1,1,1,1,1,1,1
20210918_234601_2_4,3,2,4,2,24,1,1,1,1,1,1,1,1,1
20210918_234701_2_4,3,2,4,2,24,1,1,1,1,1,1,1,1,1
20210918_234801_2_4,3,2,4,2,24,1,1,1,1,1,1,1,1,1
20210918_234901_2_4,3,2,4,2,24,1,1,1,1,1,1,1,1,1
20210918_235001_2_4,3,2,4,2,24,1,1,1,1,1,1,1,1,1
20210918_235101_2_4,3,2,4,2,24,1,1,1,1,1,1,1,1,1
20210918_235201_2_4,3,2,4,2,24,1,1,1,1,1,1,1,1,1
