serial_no,wo_no,plant_cd,line_cd,item_cd,worker_no,dimcheck_x,dimcheck_y,holecheck_xc,holecheck_yc,dimcheck_hx,dimcheck_wy,holecheck_d,holecheck_ratio,check_result
20211005_070001_1_1,1,1,1,3,2,1,1,1,1,1,1,1,1,1
20211005_070101_1_1,1,1,1,3,2,1,1,1,1,1,1,1,1,1
20211005_070201_1_1,1,1,1,3,2,1,1,1,1,1,1,1,1,1
20211005_070301_1_1,1,1,1,3,2,1,1,1,1,1,1,1,1,1
20211005_070401_1_1,1,1,1,3,2,1,1,1,0,1,1,1,1,0
20211005_070501_1_1,1,1,1,3,2,1,1,1,1,1,1,1,1,1
20211005_070601_1_1,1,1,1,3,2,1,1,1,1,1,1,1,1,1
20211005_070701_1_1,1,1,1,3,2,1,1,0,1,1,1,1,1,0
20211005_070801_1_1,1,1,1,3,2,1,1,1,1,1,1,1,1,1
20211005_070901_1_1,1,1,1,3,2,1,1,1,1,1,1,1,1,1
20211005_071001_1_1,1,1,1,3,2,1,1,1,1,1,1,1,1,1
20211005_071101_1_1,1,1,1,3,2,1,1,1,1,1,1,1,1,1
20211005_071201_1_1,1,1,1,3,2,1,1,1,1,1,1,1,1,1
20211005_071301_1_1,1,1,1,3,2,1,1,1,1,1,1,1,1,1
20211005_071401_1_1,1,1,1,3,2,1,0,1,1,1,1,1,1,0
20211005_071501_1_1,1,1,1,3,2,0,1,1,1,1,1,1,1,0
20211005_071601_1_1,1,1,1,3,2,1,1,1,1,1,1,1,1,1
20211005_071701_1_1,1,1,1,3,2,1,1,1,1,1,1,1,1,1
20211005_071801_1_1,1,1,1,3,2,1,1,1,1,1,1,1,1,1
20211005_071901_1_1,1,1,1,3,2,1,1,1,1,1,1,1,1,1
20211005_072001_1_1,1,1,1,3,2,1,1,1,1,1,1,1,1,1
