serial_no,wo_no,plant_cd,line_cd,item_cd,worker_no,dimcheck_x,dimcheck_y,holecheck_xc,holecheck_yc,dimcheck_hx,dimcheck_wy,holecheck_d,holecheck_ratio,check_result
20211013_070001_2_4,5,2,4,1,20,1,1,1,1,1,1,1,1,1
20211013_070101_2_4,5,2,4,1,20,1,1,1,1,1,1,1,1,1
20211013_070201_2_4,5,2,4,1,20,1,1,1,1,1,1,1,1,1
20211013_070301_2_4,5,2,4,1,20,1,1,1,1,1,1,1,1,1
20211013_070401_2_4,5,2,4,1,20,1,1,1,1,1,1,1,1,1
20211013_070501_2_4,5,2,4,1,20,1,1,1,1,1,1,1,1,1
20211013_070601_2_4,5,2,4,1,20,1,1,1,1,1,1,1,1,1
20211013_070701_2_4,5,2,4,1,20,1,1,1,1,1,1,1,1,1
20211013_070801_2_4,5,2,4,1,20,1,1,1,1,1,1,1,1,1
20211013_070901_2_4,5,2,4,1,20,1,1,1,1,1,1,1,1,1
20211013_071001_2_4,5,2,4,1,20,1,1,1,1,1,1,1,1,1
20211013_071101_2_4,5,2,4,1,20,1,1,1,1,1,1,1,1,1
20211013_071201_2_4,5,2,4,1,20,1,1,1,1,1,1,1,1,1
20211013_071301_2_4,5,2,4,1,20,1,1,1,1,1,1,1,1,1
20211013_071401_2_4,5,2,4,1,20,1,1,1,1,1,1,1,1,1
20211013_071501_2_4,5,2,4,1,20,1,1,1,1,1,1,1,1,1
20211013_071601_2_4,5,2,4,1,20,1,1,1,1,1,1,1,1,1
20211013_071701_2_4,5,2,4,1,20,1,1,1,1,1,1,1,1,1
20211013_071801_2_4,5,2,4,1,20,1,1,1,1,1,1,1,1,1
20211013_071901_2_4,5,2,4,1,20,1,1,1,1,1,1,1,1,1
20211013_072001_2_4,5,2,4,1,20,1,1,1,1,1,1,1,1,1
20211013_072101_2_4,5,2,4,1,20,1,1,1,1,1,1,1,1,1
20211013_072201_2_4,5,2,4,1,20,1,1,1,1,1,1,0,1,0
