serial_no,wo_no,plant_cd,line_cd,item_cd,worker_no,dimcheck_x,dimcheck_y,holecheck_xc,holecheck_yc,dimcheck_hx,dimcheck_wy,holecheck_d,holecheck_ratio,check_result
20211012_070001_2_5,6,2,5,2,26,1,1,1,1,1,1,1,1,1
20211012_070101_2_5,6,2,5,2,26,1,1,1,1,1,1,1,1,1
20211012_070201_2_5,6,2,5,2,26,1,1,1,1,1,1,1,1,1
20211012_070301_2_5,6,2,5,2,26,1,1,1,0,1,1,1,1,0
20211012_070401_2_5,6,2,5,2,26,1,1,1,1,1,1,1,1,1
20211012_070501_2_5,6,2,5,2,26,1,1,1,1,1,1,1,1,1
20211012_070601_2_5,6,2,5,2,26,1,1,1,1,1,1,1,1,1
20211012_070701_2_5,6,2,5,2,26,1,1,1,1,1,1,1,1,1
20211012_070801_2_5,6,2,5,2,26,1,1,1,1,1,1,1,1,1
20211012_070901_2_5,6,2,5,2,26,1,1,1,1,1,1,1,1,1
20211012_071001_2_5,6,2,5,2,26,1,1,1,1,1,1,1,1,1
20211012_071101_2_5,6,2,5,2,26,1,1,1,1,1,1,1,1,1
20211012_071201_2_5,6,2,5,2,26,1,1,1,1,1,1,1,1,1
20211012_071301_2_5,6,2,5,2,26,1,1,1,1,1,1,1,1,1
20211012_071401_2_5,6,2,5,2,26,1,1,1,1,1,1,1,1,1
20211012_071501_2_5,6,2,5,2,26,1,1,1,1,1,1,1,1,1
20211012_071601_2_5,6,2,5,2,26,1,1,1,1,1,1,1,1,1
20211012_071701_2_5,6,2,5,2,26,1,1,1,1,1,1,1,1,1
20211012_071801_2_5,6,2,5,2,26,1,1,1,1,1,1,1,1,1
20211012_071901_2_5,6,2,5,2,26,1,1,1,1,1,1,1,1,1
20211012_072001_2_5,6,2,5,2,26,1,1,1,1,1,1,1,1,1
20211012_072101_2_5,6,2,5,2,26,1,1,1,1,1,1,1,1,1
20211012_072201_2_5,6,2,5,2,26,1,1,1,1,1,1,1,1,1
20211012_072301_2_5,6,2,5,2,26,1,1,1,1,1,1,1,1,1
20211012_072401_2_5,6,2,5,2,26,1,1,1,1,1,1,1,1,1
20211012_072501_2_5,6,2,5,2,26,1,1,1,1,1,1,1,1,1
20211012_072601_2_5,6,2,5,2,26,1,1,1,1,1,1,1,1,1
20211012_072701_2_5,6,2,5,2,26,1,1,1,1,1,1,1,1,1
20211012_072801_2_5,6,2,5,2,26,1,1,1,1,1,1,1,1,1
20211012_072901_2_5,6,2,5,2,26,1,1,1,1,1,1,1,1,1
20211012_073001_2_5,6,2,5,2,26,1,1,1,1,1,1,1,1,1
20211012_073101_2_5,6,2,5,2,26,1,1,1,1,1,1,1,1,1
20211012_073201_2_5,6,2,5,2,26,1,1,1,1,1,1,1,1,1
20211012_073301_2_5,6,2,5,2,26,1,1,1,1,1,1,1,1,1
20211012_073401_2_5,6,2,5,2,26,1,1,1,1,1,1,1,1,1
20211012_073501_2_5,6,2,5,2,26,1,1,1,1,1,1,1,1,1
20211012_073601_2_5,6,2,5,2,26,1,1,1,1,1,1,1,1,1
20211012_073701_2_5,6,2,5,2,26,0,1,1,1,1,1,1,1,0
