serial_no,wo_no,plant_cd,line_cd,item_cd,worker_no,dimcheck_x,dimcheck_y,holecheck_xc,holecheck_yc,dimcheck_hx,dimcheck_wy,holecheck_d,holecheck_ratio,check_result
20211015_150001_2_6,5,2,6,3,34,1,1,1,1,1,1,1,1,1
20211015_150101_2_6,5,2,6,3,34,1,1,1,1,1,1,1,1,1
20211015_150201_2_6,5,2,6,3,34,1,1,1,1,1,1,1,1,1
20211015_150301_2_6,5,2,6,3,34,1,1,1,1,1,1,1,1,1
20211015_150401_2_6,5,2,6,3,34,1,1,1,1,1,1,1,1,1
20211015_150501_2_6,5,2,6,3,34,1,1,1,1,1,1,1,1,1
20211015_150601_2_6,5,2,6,3,34,1,1,1,1,1,1,1,1,1
20211015_150701_2_6,5,2,6,3,34,1,1,1,1,1,1,1,1,1
20211015_150801_2_6,5,2,6,3,34,1,1,1,1,1,1,1,1,1
20211015_150901_2_6,5,2,6,3,34,1,1,1,1,1,1,1,1,1
20211015_151001_2_6,5,2,6,3,34,1,1,1,1,1,1,1,1,1
20211015_151101_2_6,5,2,6,3,34,1,1,1,1,1,1,1,1,1
20211015_151201_2_6,5,2,6,3,34,1,1,1,1,1,1,1,1,1
20211015_151301_2_6,5,2,6,3,34,1,1,1,1,1,1,1,1,1
20211015_151401_2_6,5,2,6,3,34,1,1,1,1,1,1,1,1,1
20211015_151501_2_6,5,2,6,3,34,0,1,1,1,1,1,1,1,0
20211015_151601_2_6,5,2,6,3,34,1,1,1,1,1,1,1,1,1
20211015_151701_2_6,5,2,6,3,34,1,1,1,1,1,1,1,1,1
20211015_151801_2_6,5,2,6,3,34,1,1,1,1,1,1,1,1,1
20211015_151901_2_6,5,2,6,3,34,1,1,1,1,1,1,1,1,1
20211015_152001_2_6,5,2,6,3,34,1,1,1,1,1,1,1,1,1
20211015_152101_2_6,5,2,6,3,34,1,1,1,1,1,1,1,1,1
20211015_152201_2_6,5,2,6,3,34,1,1,1,1,1,1,1,1,1
20211015_152301_2_6,5,2,6,3,34,1,1,1,1,1,1,1,1,1
20211015_152401_2_6,5,2,6,3,34,1,1,1,1,1,1,1,1,1
20211015_152501_2_6,5,2,6,3,34,1,1,1,1,1,1,1,1,1
20211015_152601_2_6,5,2,6,3,34,1,1,1,1,1,1,1,1,1
20211015_152701_2_6,5,2,6,3,34,1,1,1,1,1,1,1,1,1
20211015_152801_2_6,5,2,6,3,34,1,1,1,1,1,1,1,1,1
20211015_152901_2_6,5,2,6,3,34,1,1,1,1,1,1,1,1,1
20211015_153001_2_6,5,2,6,3,34,1,1,1,1,1,1,1,1,1
20211015_153101_2_6,5,2,6,3,34,1,1,1,1,1,1,1,1,1
20211015_153201_2_6,5,2,6,3,34,1,1,1,1,1,1,1,1,1
20211015_153301_2_6,5,2,6,3,34,1,1,1,1,1,1,1,1,1
20211015_153401_2_6,5,2,6,3,34,1,1,1,1,1,1,1,1,1
20211015_153501_2_6,5,2,6,3,34,1,1,1,1,1,1,1,1,1
20211015_153601_2_6,5,2,6,3,34,1,1,1,1,1,1,1,1,1
20211015_153701_2_6,5,2,6,3,34,1,1,1,1,1,1,1,1,1
20211015_153801_2_6,5,2,6,3,34,1,1,1,1,1,1,1,1,1
20211015_153901_2_6,5,2,6,3,34,1,1,1,1,1,1,1,1,1
20211015_154001_2_6,5,2,6,3,34,1,1,1,1,1,1,1,1,1
20211015_154101_2_6,5,2,6,3,34,1,1,1,1,1,1,1,1,1
20211015_154201_2_6,5,2,6,3,34,1,1,1,1,1,1,1,1,1
20211015_154301_2_6,5,2,6,3,34,1,1,1,1,1,1,1,1,1
20211015_154401_2_6,5,2,6,3,34,1,1,1,1,1,1,1,1,1
20211015_154501_2_6,5,2,6,3,34,1,1,1,1,1,1,1,1,1
20211015_154601_2_6,5,2,6,3,34,1,1,1,1,1,1,1,1,1
20211015_154701_2_6,5,2,6,3,34,1,1,1,1,1,1,1,1,1
20211015_154801_2_6,5,2,6,3,34,1,1,1,1,1,1,1,1,1
20211015_154901_2_6,5,2,6,3,34,1,1,1,1,1,1,1,1,1
20211015_155001_2_6,5,2,6,3,34,1,1,1,1,1,1,1,1,1
20211015_155101_2_6,5,2,6,3,34,1,1,1,1,1,1,1,1,1
20211015_155201_2_6,5,2,6,3,34,1,1,1,1,1,1,1,1,1
20211015_155301_2_6,5,2,6,3,34,0,1,1,1,1,1,1,1,0
20211015_155401_2_6,5,2,6,3,34,1,1,1,1,1,1,1,1,1
20211015_155501_2_6,5,2,6,3,34,1,1,1,1,1,1,1,1,1
20211015_155601_2_6,5,2,6,3,34,1,1,1,1,1,1,1,1,1
20211015_155701_2_6,5,2,6,3,34,1,1,1,1,1,1,1,1,1
20211015_155801_2_6,5,2,6,3,34,1,1,1,1,1,1,1,1,1
20211015_155901_2_6,5,2,6,3,34,1,1,1,1,1,1,1,1,1
20211015_160001_2_6,5,2,6,3,34,1,1,1,1,1,1,1,1,1
20211015_160101_2_6,5,2,6,3,34,1,1,1,1,1,1,1,1,1
20211015_160201_2_6,5,2,6,3,34,1,1,1,1,1,1,1,1,1
20211015_160301_2_6,5,2,6,3,34,1,1,1,1,1,1,1,1,1
20211015_160401_2_6,5,2,6,3,34,1,1,1,1,1,1,1,1,1
20211015_160501_2_6,5,2,6,3,34,1,1,1,1,1,1,1,1,1
20211015_160601_2_6,5,2,6,3,34,1,1,1,1,1,1,1,1,1
20211015_160701_2_6,5,2,6,3,34,1,1,1,1,1,1,1,1,1
20211015_160801_2_6,5,2,6,3,34,1,1,1,1,1,1,1,1,1
20211015_160901_2_6,5,2,6,3,34,1,1,1,1,1,1,1,1,1
20211015_161001_2_6,5,2,6,3,34,1,1,1,1,1,1,1,1,1
20211015_161101_2_6,5,2,6,3,34,1,1,1,1,1,1,1,1,1
