serial_no,wo_no,plant_cd,line_cd,item_cd,worker_no,dimcheck_x,dimcheck_y,holecheck_xc,holecheck_yc,dimcheck_hx,dimcheck_wy,holecheck_d,holecheck_ratio,check_result
20211012_150001_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_150101_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_150201_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_150301_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_150401_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_150501_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_150601_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_150701_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_150801_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_150901_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_151001_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_151101_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_151201_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_151301_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_151401_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_151501_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_151601_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_151701_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_151801_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_151901_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_152001_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_152101_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_152201_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_152301_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_152401_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_152501_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_152601_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_152701_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_152801_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_152901_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_153001_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_153101_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_153201_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_153301_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_153401_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_153501_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_153601_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_153701_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_153801_2_5,4,2,5,2,28,1,1,0,1,1,1,1,1,0
20211012_153901_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_154001_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_154101_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_154201_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_154301_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_154401_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_154501_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_154601_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_154701_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_154801_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_154901_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_155001_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_155101_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_155201_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_155301_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_155401_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_155501_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_155601_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_155701_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_155801_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_155901_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_160001_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_160101_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_160201_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_160301_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_160401_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_160501_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_160601_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_160701_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_160801_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_160901_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_161001_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_161101_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_161201_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_161301_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_161401_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_161501_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_161601_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_161701_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_161801_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_161901_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_162001_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_162101_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_162201_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_162301_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_162401_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_162501_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_162601_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_162701_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_162801_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_162901_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_163001_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_163101_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_163201_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_163301_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_163401_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_163501_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_163601_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_163701_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_163801_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_163901_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_164001_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_164101_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_164201_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_164301_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_164401_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_164501_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_164601_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_164701_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_164801_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_164901_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_165001_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_165101_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_165201_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_165301_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_165401_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_165501_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_165601_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_165701_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_165801_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_165901_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_170001_2_5,4,2,5,2,28,1,1,1,1,1,1,0,1,0
20211012_170101_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_170201_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_170301_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_170401_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_170501_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_170601_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_170701_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_170801_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_170901_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_171001_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_171101_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
20211012_171201_2_5,4,2,5,2,28,1,1,1,1,1,1,1,1,1
