serial_no,wo_no,plant_cd,line_cd,item_cd,worker_no,dimcheck_x,dimcheck_y,holecheck_xc,holecheck_yc,dimcheck_hx,dimcheck_wy,holecheck_d,holecheck_ratio,check_result
20211013_150001_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_150101_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_150201_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_150301_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_150401_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_150501_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_150601_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_150701_1_1,1,1,1,1,4,1,1,0,1,1,1,1,1,0
20211013_150801_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_150901_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_151001_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_151101_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_151201_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_151301_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_151401_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_151501_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_151601_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_151701_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_151801_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_151901_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_152001_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_152101_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_152201_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_152301_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_152401_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_152501_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_152601_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_152701_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_152801_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_152901_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_153001_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_153101_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_153201_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_153301_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_153401_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_153501_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_153601_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_153701_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_153801_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_153901_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_154001_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_154101_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_154201_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_154301_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_154401_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_154501_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_154601_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_154701_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_154801_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_154901_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_155001_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_155101_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_155201_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_155301_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_155401_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_155501_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_155601_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_155701_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_155801_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_155901_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_160001_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_160101_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_160201_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_160301_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_160401_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_160501_1_1,1,1,1,1,4,1,0,1,1,1,1,1,1,0
20211013_160601_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_160701_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_160801_1_1,1,1,1,1,4,0,1,1,1,1,1,1,1,0
20211013_160901_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_161001_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_161101_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_161201_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_161301_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_161401_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_161501_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_161601_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_161701_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_161801_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_161901_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_162001_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_162101_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_162201_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_162301_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_162401_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_162501_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_162601_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_162701_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_162801_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_162901_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_163001_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_163101_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_163201_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_163301_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_163401_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_163501_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_163601_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_163701_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_163801_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_163901_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_164001_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_164101_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_164201_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_164301_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_164401_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_164501_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_164601_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_164701_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_164801_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
20211013_164901_1_1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
