serial_no,wo_no,plant_cd,line_cd,item_cd,worker_no,dim_x,dim_y,dim_h,dim_w,hole_x,hole_y,hole_xc,hole_yc,str_x,str_y,hole_d,hole_ratio,prd_dt
20211014_150001_1_1,3,1,1,3,3,50.011675096697736,39.980973999345835,-0.00012337690192183246,0.0004995332228628992,4.021085602472595,3.9563380940643165,0.006442175303709204,0.012597866210671,-2.466961998039114e-06,1.2494273472954224e-05,4.021085602472595,0.9838980029750014,2021-10-14 15:00:01
20211014_150101_1_1,3,1,1,3,3,49.97695337421614,40.025606169607016,0.00014685518013990022,-9.525737618651988e-06,3.969302527934567,4.009178564784056,0.013447723937367087,-0.00314403814673317,2.9384580336516674e-06,-2.379910894612571e-07,4.009178564784056,1.0100461067325697,2021-10-14 15:01:01
20211014_150201_1_1,3,1,1,3,3,50.06005373188651,40.01687748233488,0.0006167543397236575,0.00021563337184242183,4.013534703863758,4.020014310043431,0.009752664243778512,0.00464173957002332,1.2320289207576428e-05,5.388560662625699e-06,4.020014310043431,1.001614438807128,2021-10-14 15:02:01
20211014_150301_1_1,3,1,1,3,3,49.949679547093794,39.95068108707905,-0.0010807506473285333,-0.0006064178323260614,4.035332232204837,4.046012421179189,0.0069490900415219116,0.03221760197219996,-2.1636788406411595e-05,-1.5179161301512596e-05,4.046012421179189,1.0026466690621199,2021-10-14 15:03:01
20211014_150401_1_1,3,1,1,3,3,49.99217681934317,40.01674628267849,0.0002063771672106413,-0.0006723324874169133,4.0370542758664945,4.021194713741872,0.03778129835764556,0.029030460785764926,4.128189255619472e-06,-1.680127821156556e-05,4.0370542758664945,0.9960715013866842,2021-10-14 15:04:01
20211014_150501_1_1,3,1,1,3,3,50.05198304776641,39.9814262369332,0.00016567256020465367,-0.00019133983942543013,4.005839689166613,3.98551896653133,-0.000493358792809863,0.016831845715114417,3.3100099160216362e-06,-4.785718205537106e-06,4.005839689166613,0.994927225198193,2021-10-14 15:05:01
20211014_150601_1_1,3,1,1,3,3,50.0389844099647,39.995587806292846,0.00032590936572640325,0.0006437741891900879,4.025641601048772,3.992593573669367,-0.017913761316631062,0.032771143073017976,6.513109120206327e-06,1.6096130210862844e-05,4.025641601048772,0.9917906185759817,2021-10-14 15:06:01
20211014_150701_1_1,3,1,1,3,3,50.01874209359904,40.01655290578312,0.0001961547425982293,0.00046010671208256495,4.011112385097986,3.978959216989505,0.02643364515318607,-0.02585240350522287,3.921624862759823e-06,1.1497909706662193e-05,4.011112385097986,0.9919839772558017,2021-10-14 15:07:01
20211014_150801_1_1,3,1,1,3,3,49.96700978907383,40.002673686025055,0.00030671855464772156,0.0003559110660454638,3.9128871013766995,4.001703966683677,-0.0029038265454653543,-0.015931613210846816,6.138421249189721e-06,8.897181944360919e-06,4.001703966683677,1.02269855045798,2021-10-14 15:08:01
20211014_150901_1_1,3,1,1,3,3,50.02916040247574,40.020652457358544,0.00015551617239777273,-0.00040629152541942046,3.999834253325241,3.990353180905499,-0.00951693679185256,-0.014370279775870017,3.108510539586766e-06,-1.0152046517790246e-05,3.999834253325241,0.9976296336749804,2021-10-14 15:09:01
20211014_151001_1_1,3,1,1,3,3,49.963852836313386,39.974066109024214,0.00015681100941787658,-5.9469656897438486e-05,4.036175958474796,3.9623372756197917,-0.004102236929828949,0.005274560349748509,3.1384891379695084e-06,-1.4877059725483645e-06,4.036175958474796,0.981705782003888,2021-10-14 15:10:01
20211014_151101_1_1,3,1,1,3,3,50.01708065886034,39.98759031889408,0.00013398194605866243,8.184075464980071e-05,3.9117528160600843,3.9946418634496528,-0.00854686012980553,0.023010600250618955,2.6787238338135203e-06,2.0466538242773555e-06,3.9946418634496528,1.0211897456938637,2021-10-14 15:11:01
20211014_151201_1_1,3,1,1,3,3,49.98995538487753,39.95507326211062,0.0002612252289428641,-0.00020835878717229372,4.031023739922401,4.035416022615321,-0.0024601659068767758,-0.0006954682711469051,5.22555435250273e-06,-5.214826808236146e-06,4.035416022615321,1.0010896196540398,2021-10-14 15:12:01
20211014_151301_1_1,3,1,1,3,3,50.0074552165244,39.996454562769586,0.00024079893058582074,-0.0007252070561877546,4.049332453102029,3.974018699530053,0.008334646545136182,-0.016105201785113772,4.815260635503233e-06,-1.8131783532203586e-05,4.049332453102029,0.9814009458486715,2021-10-14 15:13:01
20211014_151401_1_1,3,1,1,3,3,49.99848626936608,40.04089493040193,-0.00015430862008803298,-0.00020315871934370217,4.003876063023753,4.021360074852069,0.003414860212229605,0.0015630997529888714,-3.0862658372635052e-06,-5.073780685891948e-06,4.021360074852069,1.0043667714867057,2021-10-14 15:14:01
20211014_151501_1_1,3,1,1,3,3,49.94342198918282,39.964174599762465,-0.0003574702398774937,0.00019901208298335279,3.992199001270851,4.007494008299935,0.009258559916870022,0.023811993269430672,-7.157503944261523e-06,4.979762123863198e-06,4.007494008299935,1.0038312235998796,2021-10-14 15:15:01
20211014_151601_1_1,3,1,1,3,3,50.052309976022784,40.007781109402025,-9.292063531490877e-05,-0.0002927907954173491,4.0087718120236655,4.011848231534683,0.00684203451270082,0.01784468678476123,-1.8564704677850384e-06,-7.318346264110654e-06,4.011848231534683,1.0007674219574658,2021-10-14 15:16:01
20211014_151701_1_1,3,1,1,3,3,49.961166089738164,40.03583566136126,0.0001829299964936499,-0.0003220247497719526,3.9688038787417685,4.027889504126917,-0.017793746701461995,-0.0018121457048626594,3.661443693389355e-06,-8.043412718939197e-06,4.027889504126917,1.0148875145233633,2021-10-14 15:17:01
20211014_151801_1_1,3,1,1,3,3,49.96309008493779,40.01764146998251,0.00014407661131919156,-0.00013659193917886224,3.9581777875777187,3.952579606796313,0.00884784749019944,-0.008936072990442627,2.883660939991097e-06,-3.413293091781052e-06,3.9581777875777187,0.9985856671726634,2021-10-14 15:18:01
20211014_151901_1_1,3,1,1,3,3,49.94330422418147,40.02733250938918,-0.0006646061117376204,-0.00020305903976848447,4.044587311413742,4.000957447796847,0.013497865579393038,-0.023004782005804567,-1.3307211488338662e-05,-5.07300954218853e-06,4.044587311413742,0.9892127774090148,2021-10-14 15:19:01
20211014_152001_1_1,3,1,1,3,3,50.02155161521254,39.99227670816675,-0.00023042845724963968,0.00041869381308448297,3.9396196268359223,3.96064591802479,0.0036420290717754196,0.003783036372906904,-4.6065835586667775e-06,1.0469366776485178e-05,3.96064591802479,1.0053371373839344,2021-10-14 15:20:01
20211014_152101_1_1,3,1,1,3,3,50.07753570146676,39.99432375506526,-0.00038496594567434333,-8.641320976073686e-05,4.057689422071468,3.997916332506915,0.03157345711694414,0.02455826556795305,-7.687397957624895e-06,-2.1606368516180415e-06,4.057689422071468,0.9852691807215647,2021-10-14 15:21:01
20211014_152201_1_1,3,1,1,3,3,50.02066789182449,40.01415975009931,6.090520547418196e-05,0.0002091888451978996,3.9475742259186073,3.9898116634687772,-0.027073872163450786,-0.03369933593437902,1.2176008046493212e-06,5.227870496452956e-06,3.9898116634687772,1.010699592998873,2021-10-14 15:22:01
20211014_152301_1_1,3,1,1,3,3,50.00088784988984,40.056629478084524,-7.781344232178271e-05,-0.0001862300297495484,3.9932792830636177,3.988043913730268,-0.017423236519755064,-0.01577508075106472,-1.5562412122638766e-06,-4.649168743751572e-06,3.9932792830636177,0.9986889548758701,2021-10-14 15:23:01
20211014_152401_1_1,3,1,1,3,3,50.03725557726416,40.03603631205905,-3.198900656306873e-05,-0.00019665838941077766,4.029652833949058,4.022231916770009,-0.008573431328635923,-0.010561992181183954,-6.393037786349704e-07,-4.912034445116715e-06,4.029652833949058,0.9981584227016955,2021-10-14 15:24:01
20211014_152501_1_1,3,1,1,3,3,50.07800541853501,39.9954496136574,2.733341806353297e-05,0.00015230418694203523,3.9803564705078287,3.9624977836082254,-0.014218970711275461,-0.015147327731992895,5.458168278686326e-07,3.808037874639302e-06,3.9803564705078287,0.995513294592601,2021-10-14 15:25:01
