serial_no,wo_no,plant_cd,line_cd,item_cd,worker_no,dimcheck_x,dimcheck_y,holecheck_xc,holecheck_yc,dimcheck_hx,dimcheck_wy,holecheck_d,holecheck_ratio,check_result
20211013_150001_2_5,6,2,5,2,28,1,1,1,1,1,1,1,1,1
20211013_150101_2_5,6,2,5,2,28,1,1,1,1,1,1,1,1,1
20211013_150201_2_5,6,2,5,2,28,1,1,1,1,1,1,1,1,1
20211013_150301_2_5,6,2,5,2,28,1,1,1,1,1,1,1,1,1
20211013_150401_2_5,6,2,5,2,28,1,1,1,1,1,1,1,1,1
20211013_150501_2_5,6,2,5,2,28,1,1,1,1,1,1,1,1,1
20211013_150601_2_5,6,2,5,2,28,1,1,1,1,1,1,1,1,1
20211013_150701_2_5,6,2,5,2,28,1,1,1,1,1,1,1,1,1
20211013_150801_2_5,6,2,5,2,28,1,1,1,1,1,1,1,1,1
20211013_150901_2_5,6,2,5,2,28,1,1,1,1,1,1,1,1,1
20211013_151001_2_5,6,2,5,2,28,1,1,1,1,1,1,1,1,1
20211013_151101_2_5,6,2,5,2,28,1,1,1,1,1,1,1,1,1
20211013_151201_2_5,6,2,5,2,28,1,1,1,1,1,1,1,1,1
20211013_151301_2_5,6,2,5,2,28,1,1,1,1,1,1,1,1,1
20211013_151401_2_5,6,2,5,2,28,1,1,1,1,1,1,1,1,1
20211013_151501_2_5,6,2,5,2,28,1,1,1,1,1,1,1,1,1
20211013_151601_2_5,6,2,5,2,28,1,1,1,1,1,1,1,1,1
20211013_151701_2_5,6,2,5,2,28,1,1,1,1,1,1,1,1,1
20211013_151801_2_5,6,2,5,2,28,1,1,1,1,1,1,1,1,1
20211013_151901_2_5,6,2,5,2,28,1,1,1,1,1,1,1,1,1
20211013_152001_2_5,6,2,5,2,28,1,1,1,1,1,1,1,1,1
20211013_152101_2_5,6,2,5,2,28,1,1,1,1,1,1,1,1,1
20211013_152201_2_5,6,2,5,2,28,1,1,1,1,1,1,1,1,1
20211013_152301_2_5,6,2,5,2,28,1,1,1,1,1,1,1,1,1
20211013_152401_2_5,6,2,5,2,28,1,1,1,1,1,1,1,1,1
20211013_152501_2_5,6,2,5,2,28,1,1,1,1,1,1,1,1,1
20211013_152601_2_5,6,2,5,2,28,1,1,1,1,1,1,1,1,1
20211013_152701_2_5,6,2,5,2,28,1,1,1,1,1,1,1,1,1
20211013_152801_2_5,6,2,5,2,28,1,1,1,1,1,1,1,1,1
20211013_152901_2_5,6,2,5,2,28,1,1,1,1,1,1,1,1,1
20211013_153001_2_5,6,2,5,2,28,1,1,1,1,1,1,1,1,1
20211013_153101_2_5,6,2,5,2,28,1,1,1,1,1,1,1,1,1
20211013_153201_2_5,6,2,5,2,28,1,1,1,1,1,1,1,1,1
20211013_153301_2_5,6,2,5,2,28,1,1,1,1,1,1,1,1,1
20211013_153401_2_5,6,2,5,2,28,1,1,1,1,1,1,1,1,1
20211013_153501_2_5,6,2,5,2,28,1,1,1,1,1,1,1,1,1
20211013_153601_2_5,6,2,5,2,28,1,1,1,1,1,1,1,1,1
20211013_153701_2_5,6,2,5,2,28,1,1,1,1,1,1,1,1,1
20211013_153801_2_5,6,2,5,2,28,1,1,1,1,1,1,1,1,1
20211013_153901_2_5,6,2,5,2,28,1,1,1,1,1,1,1,1,1
20211013_154001_2_5,6,2,5,2,28,1,1,1,1,1,1,1,1,1
20211013_154101_2_5,6,2,5,2,28,1,1,1,1,1,1,1,1,1
20211013_154201_2_5,6,2,5,2,28,1,1,1,1,1,1,1,1,1
